,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
4,232006708,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-01-26 09:00:00+00,2023,1,Thursday ,9,,HUTCHINGS ST,42.310268910354935,-71.08931055058088,"(42.310268910354935, -71.08931055058088)"
15,232052046,423,,ASSAULT - AGGRAVATED,E18,519,0,2023-07-02 14:27:00+00,2023,7,Sunday   ,14,,RIVER ST,42.25609174568991,-71.12079696936819,"(42.25609174568991, -71.12079696936819)"
17,232009906,801,,ASSAULT - SIMPLE,D14,778,0,2023-02-04 17:00:00+00,2023,2,Saturday ,17,,WASHINGTON ST,,,
18,232009847,801,,ASSAULT - SIMPLE,C11,332,0,2023-02-06 15:43:00+00,2023,2,Monday   ,15,,WHITTEMORE TER,42.31388777279501,-71.06586565280912,"(42.31388777279501, -71.06586565280912)"
26,232013444,423,,ASSAULT - AGGRAVATED,E18,536,0,2023-02-19 10:22:00+00,2023,2,Sunday   ,10,,EASTMONT RD,42.25108483920587,-71.1442198354439,"(42.25108483920587, -71.1442198354439)"
31,232013542,801,,ASSAULT - SIMPLE,C6, ,0,2023-02-19 18:07:00+00,2023,2,Sunday   ,18,,ALLSTATE ROAD,,,
45,232040674,423,,ASSAULT - AGGRAVATED,E5, ,0,2023-05-24 16:03:00+00,2023,5,Wednesday,16,,BROOKWAY RD,42.29255578453304,-71.11974298117391,"(42.29255578453304, -71.11974298117391)"
51,232024716,801,,ASSAULT - SIMPLE,E13, ,0,2023-03-30 21:30:00+00,2023,3,Thursday ,21,,AMORY AVE,42.32066534380498,-71.10004987256167,"(42.32066534380498, -71.10004987256167)"
55,232026984,423,,ASSAULT - AGGRAVATED,A1,118,0,2023-04-07 00:00:00+00,2023,4,Friday   ,0,,BOYLSTON ST,42.352510053467306,-71.06719166401544,"(42.352510053467306, -71.06719166401544)"
56,232027276,423,,ASSAULT - AGGRAVATED,C11,241,0,2023-04-08 22:35:00+00,2023,4,Saturday ,22,,SUMNER STREET,,,
69,232007972,801,,ASSAULT - SIMPLE,D14,797,0,2023-01-30 18:24:00+00,2023,1,Monday   ,18,,COMMONWEALTH AVE,42.351705315010456,-71.11990015383687,"(42.351705315010456, -71.11990015383687)"
71,232069108,423,,ASSAULT - AGGRAVATED,D4,273,0,2023-08-28 11:00:00+00,2023,8,Monday   ,11,,NORTHAMPTON ST,42.33798887433359,-71.08003799864896,"(42.33798887433359, -71.08003799864896)"
73,232097653,301,,ROBBERY,B2,587,0,2023-12-01 11:25:00+00,2023,12,Friday   ,11,,"ALLEGHANY ST & PONTIAC ST
ROXBURY  MA 02120
UNITED",42.33139461962204,-71.1014185782975,"(42.33139461962204, -71.1014185782975)"
74,232038955,423,,ASSAULT - AGGRAVATED,B3, ,0,2023-05-18 22:04:00+00,2023,5,Thursday ,22,,NORFOLK ST,42.284579825799504,-71.08083309740765,"(42.284579825799504, -71.08083309740765)"
76,232027682,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-04-10 16:41:00+00,2023,4,Monday   ,16,,WARREN ST,42.31993295277239,-71.08157395179997,"(42.31993295277239, -71.08157395179997)"
77,232040481,301,,ROBBERY,B3, ,0,2023-05-23 23:29:00+00,2023,5,Tuesday  ,23,,CALLENDER ST,42.2878539341055,-71.08679684409852,"(42.2878539341055, -71.08679684409852)"
86,232016855,801,,ASSAULT - SIMPLE,A7,902,0,2023-03-03 20:45:00+00,2023,3,Friday   ,20,,SUMNER ST,42.36908069093343,-71.04021609048768,"(42.36908069093343, -71.04021609048768)"
87,232086927,423,,ASSAULT - AGGRAVATED,D4,136,1,2023-10-27 12:50:00+00,2023,10,Friday   ,12,,"COMMONWEALTH AVE & EXETER ST
BOSTON  MA 02116
UNIT",42.35145950941225,-71.08047054633238,"(42.35145950941225, -71.08047054633238)"
97,232001615,801,,ASSAULT - SIMPLE,B3, ,0,2023-01-07 02:51:00+00,2023,1,Saturday ,2,,COLONIAL AVE,42.2904087818044,-71.07693638200932,"(42.290408781804395, -71.07693638200932)"
105,232049697,801,,ASSAULT - SIMPLE,B2, ,0,2023-06-24 17:12:00+00,2023,6,Saturday ,17,,COLUMBIA RD,42.31635461376237,-71.06593908466135,"(42.31635461376237, -71.06593908466135)"
106,232054216,801,,ASSAULT - SIMPLE,D4,167,0,2023-07-09 17:00:00+00,2023,7,Sunday   ,17,,HARRISON AVE,42.33954198983015,-71.06940876967543,"(42.339541989830145, -71.06940876967543)"
