case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source;;
101005905368,2025-02-09 03:56:00,2025-02-12 03:30:00,2025-02-09 05:43:09,ONTIME,Closed,Case Closed. Closed date : Sun Feb 09 10:43:09 EST 2025 Resolved Salted ,Request for Snow Plowing,Public Works Department,Street Cleaning,Request for Snow Plowing,PWDx_District 10B: Roxbury,PWDx,,,20 Morley St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 9,0905,20 Morley St,02119,42.32926956819621,-71.09239058822217,0101000020E6100000D6B736BAE9C551C0427C5581252A4540,Employee Generated;;
101006005204,2025-03-27 08:46:32,2025-03-28 08:46:32,2025-03-27 10:52:03,ONTIME,Closed,Case Closed. Closed date : Thu Mar 27 14:52:03 EDT 2025 Resolved Picked up ,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 08: Hyde Park,PWDx,,,71 Cliffmont St  Roslindale  MA  02131,12,08,5,E18,Roslindale,10,Ward 18,1809,71 Cliffmont St,02131,42.27616961421221,-71.12098077190761,0101000020E61000006FB22226BEC751C05E98A28659234540,Employee Generated;;
101006005205,2025-03-27 08:47:48,2025-03-28 08:47:50,2025-03-27 13:54:08,ONTIME,Closed,Case Closed. Closed date : Thu Mar 27 17:54:08 EDT 2025 Resolved Picked up  ,Pick up Dead Animal,Public Works Department,Street Cleaning,Pick up Dead Animal,PWDx_District 06: West Roxbury and Roslindale,PWDx,,,INTERSECTION of Hillcrest St &amp; Temple St  West Roxbury  MA  ,12,06,6,E5,West Roxbury,12,20,2005,INTERSECTION Hillcrest St &amp; Temple St,,42.27936995553943,-71.16145604345235,0101000020E6100000A497BA4B55CA51C06F430B65C2234540,Citizens Connect App
101006049509,2025-04-28 22:01:02,2025-04-30 04:30:00,2025-04-29 03:47:41,ONTIME,Closed,Case Closed. Closed date : Tue Apr 29 07:47:41 EDT 2025 Resolved ,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1B: North End,PWDx,,https://spot-boston-res.cloudinary.com/image/upload/v1745927253/boston/production/agvj0boeptx9cyuup9n2.jpg#spot=d771363d-fbc2-4462-b0c8-8a50fdcd6f2c,5 Wiget St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,0304,5 Wiget St,02113,42.36402951665364,-71.05595042890454,0101000020E6100000E6951BB194C351C02D67EA84982E4540,City Worker App;;
101006049510,2025-04-28 22:06:21,2025-04-30 04:30:00,2025-04-29 03:36:47,ONTIME,Closed,Case Closed. Closed date : Tue Apr 29 07:36:47 EDT 2025 Resolved ,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1B: North End,PWDx,,https://spot-boston-res.cloudinary.com/image/upload/v1745926602/boston/production/drwmzqdlyyumg7ep9iak.jpg#spot=6e9506e6-ef2e-4070-975f-0b6a86be8f82,101 Endicott St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,0304,101 Endicott St,02113,42.364349518526986,-71.05714043085646,0101000020E6100000B4735630A8C351C081314901A32E4540,City Worker App;;
101006049511,2025-04-28 22:08:15,2025-04-30 04:30:00,,OVERDUE,Open, ,Parking Enforcement,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,BTDT_Parking Enforcement,BTDT,,,682 E Sixth St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,0608,682 E Sixth St,02127,42.33330948864886,-71.03294844571306,0101000020E6100000AA32CCD31BC251C0BF98A4E2A92A4540,Citizens Connect App;;
101006049512,2025-04-28 22:09:00,2025-04-30 04:30:00,2025-04-28 23:11:20,ONTIME,Closed,Case Closed. Closed date : Tue Apr 29 03:11:20 EDT 2025 Noted ,CE Collection,Public Works Department,Street Cleaning,CE Collection,PWDx_District 1C: Downtown,PWDx,,,170 Saint Botolph St  Boston  MA  02115,4,1C,7,D4,Back Bay,14,Ward 4,0405,170 Saint Botolph St,02115,42.34276955427264,-71.08310053699688,0101000020E6100000A02BEA8451C551C02FD56CDFDF2B4540,City Worker App;;
101006049502,2025-04-28 21:50:00,2025-04-30 04:30:00,,OVERDUE,Open, ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,,,INTERSECTION of Harvard St &amp; Tyler St  Boston  MA  ,4,1C,2,A1,Downtown / Financial District,4,3,0308,INTERSECTION Harvard St &amp; Tyler St,,42.34949968760783,-71.0612550450094,0101000020E6100000F2C1479AEBC351C0721EE067BC2C4540,Constituent Call
101006049525,2025-04-29 00:30:04,2025-05-29 00:30:11,2025-04-29 00:30:55,ONTIME,Closed,Case Closed. Closed date : Tue Apr 29 04:30:55 EDT 2025 Noted Abatement issued  ,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,1518 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2110,1518 Commonwealth Ave,02135,42.345579630246434,-71.14109066133149,0101000020E6100000250C20A107C951C03E090DF43B2C4540,City Worker App;;
101006049526,2025-04-29 01:02:43,2025-04-30 04:30:00,,OVERDUE,Open, ,Parking Enforcement,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,BTDT_Parking Enforcement,BTDT,,,420 E St  Boston  MA  02210,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,0601,420 E St,02210,42.341739504885176,-71.04546045534399,0101000020E6100000AD3DF8D2E8C251C0D59DBE1EBE2B4540,Citizens Connect App;;
101006049527,2025-04-29 01:13:01,2025-04-30 04:30:00,,OVERDUE,Open, ,Parking Enforcement,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,BTDT_Parking Enforcement,BTDT,,,121 Marine Rd  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 7,0701,121 Marine Rd,02127,42.33049948988798,-71.03419045479849,0101000020E6100000794C292D30C251C0EF34AACE4D2A4540,Citizens Connect App;;
101005851920,2025-01-05 04:22:16,,2025-01-05 04:43:41,ONTIME,Closed,Case Closed. Closed date : Sun Jan 05 09:43:41 EST 2025 Resolved Df ,Needle Pickup,Mayor's 24 Hour Hotline,Needle Program,Needle Pickup,GEN_Needle_Pickup,GEN_,,,68 W Springfield St  Roxbury  MA  02118,4,1C,7,D4,Roxbury,6,09,0902,68 W Springfield St,02118,42.337132432289394,-71.07684299120014,0101000020E61000006988DDFEEAC451C04C8DD127272B4540,Employee Generated;;
